583	火锅	 浦东新区	25	65	69	65	89
584	火锅	 浦东新区	8	74	73	74	56
585	快餐	 浦东新区	11	72	71	72	58
586	甜点	 浦东新区	48	76	76	78	88
587	川菜	 浦东新区	4361	88	82	84	76
588	海鲜	 浦东新区	171	91	92	91	249
589	北菜	 浦东新区	50	73	75	72	53
590	湘菜	 浦东新区	93	74	73	73	57
591	川菜	 浦东新区	16	78	77	77	100
592	浙菜	 浦东新区	283	81	74	73	61
593	火锅	 浦东新区	752	87	80	78	79
594	甜点	 浦东新区	44	71	72	71	41
595	甜点	 浦东新区	44	71	72	71	41
596	西餐	 浦东新区	998	76	76	72	76
597	浙菜	 浦东新区	36	74	72	73	60
